OperatorName,Address.City,Address.PostalCode,Address.Street,Address.HouseNum,lat,lon,charger_count
eCarUp,Baar,6340,Privat - Arbachstrasse 2b,,47.182408,8.532149,1
eCarUp,Baar,6340,Zuwebe,,47.18433,8.535778,1
eCarUp,Baar,6340,Zuwebe,,47.184354,8.535763,1
eCarUp,Baar,6340,Zuwebe,,47.184374,8.535745,1
eCarUp,Baar,6340,Zuwebe,,47.184385,8.535729,1
eCarUp,Bachenbülach,8184,Bramenstrasse 15,,47.502446,8.537597,1
eCarUp,Bachenbülach,8184,Bramenstrasse 15,,47.502458,8.537578,1
eCarUp,Bachenbülach,8184,Bramenstrasse 15,,47.502477,8.537558,1
eCarUp,Bachenbülach,8184,Bramenstrasse 15,,47.502498,8.537534,1
eCarUp,Bachenbülach,8184,Bramenstrasse 15,,47.502521,8.537505,1
eCarUp,Bachenbülach,8184,Bramenstrasse 15,,47.502538,8.537482,1
eCarUp,Bachenbülach,8184,Bramenstrasse 15,,47.502558,8.537468,1
eCarUp,Bachenbülach,8184,Bramenstrasse 15,,47.502574,8.537449,1
eCarUp,Bachenbülach,8184,Bramenstrasse 15,,47.502588,8.53743,1
eCarUp,Bachenbülach,8184,Bramenstrasse 15,,47.502604,8.537426,1
eCarUp,Bachenbülach,8184,Grabenstrasse 4,,47.504951,8.541562,1
eCarUp,Bachenbülach,8184,Grabenstrasse 4,,47.50498,8.541727,1
eCarUp,Bachenbülach,8184,Grabenstrasse 4,,47.505001,8.541846,1
eCarUp,Bachenbülach,8184,Grabenstrasse 4b,,47.505001,8.541932,1
eCarUp,Bachenbülach,8184,Grabenstrasse 4b,,47.505023,8.542027,1
eCarUp,Bachenbülach,8184,Grabenstrasse 4b,,47.50505,8.542154,1
eCarUp,Bachenbülach,8184,Grabenstrasse 4b,,47.505061,8.542245,1
eCarUp,Bachenbülach,8184,Zürichstrasse 50,,47.504813,8.546265,1
eCarUp,Bad Ragaz,7310,Buchenstrasse 2,,47.012956,9.493794,1
eCarUp,Bad Ragaz,7310,Elestastrasse 10,,47.011367,9.505722,1
eCarUp,Bad Ragaz,7310,Heuteilstrasse 20,,47.013917,9.502374,1
eCarUp,Bad Ragaz,7310,Heuteilstrasse 20,,47.013936,9.50233,1
eCarUp,Bad Ragaz,7310,Heuteilstrasse 20,,47.013956,9.502281,1
eCarUp,Bad Ragaz,7310,Lattmanngasse 8,,47.002002,9.499846,1
eCarUp,Bad Zurzach,5330,Langwiesstrasse 2a,,47.58564,8.29442,1
